Date,Open,High,Low,Close,Adj Close,Volume
25-05-2018,76.449997,77.800003,76.050003,77,77,5897442
28-05-2018,77.5,78.650002,76.300003,77.650002,77.650002,10613718
29-05-2018,77.75,81.400002,77.400002,80.699997,80.699997,17047951
30-05-2018,81.199997,84.400002,80.949997,82.300003,82.300003,22320765
31-05-2018,82.300003,84.949997,81.949997,84.199997,84.199997,18694884
01-06-2018,82.550003,83.449997,81.75,83,83,8970712
04-06-2018,84.5,90.75,84.5,89.900002,89.900002,28103102
05-06-2018,91.150002,91.550003,89.5,90,90,18835068
06-06-2018,89.5,92.949997,88.599998,92.599998,92.599998,23936547
07-06-2018,93.599998,94.949997,93.050003,94.599998,94.599998,15970335
08-06-2018,92.400002,96.800003,92,96.5,96.5,17693806
11-06-2018,97,98.900002,96.599998,97,97,12387930
12-06-2018,96.900002,97.900002,96,97,97,10891950
13-06-2018,98,99.699997,98,99.25,99.25,11372569
14-06-2018,95.800003,103,93.550003,102.400002,102.400002,26994254
15-06-2018,103.75,104.949997,102.900002,104.349998,104.349998,15188902
18-06-2018,104.900002,105.5,103.300003,104.300003,104.300003,10418872
19-06-2018,105.199997,105.400002,104.050003,104.400002,104.400002,6618702
20-06-2018,105.5,106.5,104.650002,105.900002,105.900002,8714879
21-06-2018,106.099998,106.699997,104.849998,105.25,105.25,7061717
22-06-2018,106.199997,113.650002,105.599998,112.650002,112.650002,22334797
25-06-2018,113,116.449997,112.550003,113.949997,113.949997,17612794
26-06-2018,117,118.900002,116.400002,116.849998,116.849998,16287980
27-06-2018,117.900002,118.699997,114,117.599998,117.599998,15826201
28-06-2018,121,128.449997,119.900002,127.300003,127.300003,28664551
29-06-2018,128.449997,129.300003,124.400002,126.25,126.25,27472799
02-07-2018,126.900002,127.199997,123.550003,125.050003,125.050003,14121570
03-07-2018,124.199997,133.850006,124.099998,132.949997,132.949997,32394959
04-07-2018,134,137.5,133.699997,135.949997,135.949997,28503057
05-07-2018,137.199997,137.850006,131.5,132.199997,132.199997,20155095
06-07-2018,132,134.449997,128.75,131.149994,131.149994,33819095
09-07-2018,131.5,131.899994,128.550003,129.399994,129.399994,17487077
10-07-2018,129,129.199997,122.5,123.650002,123.650002,16629689
11-07-2018,122.800003,122.849998,119.400002,120.199997,120.199997,21835148
12-07-2018,119.449997,131.449997,119.150002,130.199997,130.199997,32101748
13-07-2018,131.699997,134.949997,128.800003,129.300003,129.300003,25554181
16-07-2018,130,133.300003,128.600006,132.800003,132.800003,18362804
17-07-2018,133.25,136.600006,128.5,128.949997,128.949997,64858706
18-07-2018,128.5,129.449997,122.900002,123.349998,123.349998,22168964
19-07-2018,125.5,126,120,122.25,122.25,18871095
20-07-2018,122.5,124.699997,120.449997,122.699997,122.699997,18591611
23-07-2018,122.599998,124.400002,120.75,121.599998,121.599998,12484041
24-07-2018,123,123.800003,120.599998,122.449997,122.449997,13542657
25-07-2018,123.900002,125.199997,122.050003,123.5,123.5,10784130
26-07-2018,124.25,124.449997,121.449997,122.900002,122.900002,7678168
27-07-2018,123,125.849998,122.050003,123.800003,123.800003,15356570
30-07-2018,123.849998,124.050003,119.25,119.699997,119.699997,12995177
31-07-2018,119,119,114.599998,116.25,116.25,12331905
01-08-2018,115.550003,123.949997,115.349998,122.900002,122.900002,21812608
02-08-2018,123.800003,123.800003,121.099998,122.599998,122.599998,10314844
03-08-2018,122.449997,126.75,122.349998,125,125,13020777
06-08-2018,126.050003,128.100006,125.699997,126.599998,126.599998,10505709
07-08-2018,127.650002,128.899994,126.599998,128.25,128.25,11746246
08-08-2018,128,129.399994,126.349998,127.449997,127.449997,7084937
09-08-2018,127.400002,127.849998,125.050003,126.849998,126.849998,7811577
10-08-2018,128,128,125.650002,126.349998,126.349998,7590313
13-08-2018,126.449997,127.400002,125.099998,125.75,125.75,4990619
14-08-2018,125.75,126,122.300003,122.849998,122.849998,7612957
16-08-2018,122.800003,123.800003,121.699997,123.150002,123.150002,5588874
17-08-2018,123.900002,127.599998,123.5,127.050003,127.050003,8091845
20-08-2018,127.400002,129.899994,126.699997,127.550003,127.550003,12256198
21-08-2018,127.25,128.100006,125,125.75,125.75,6989295
