Date,Open,High,Low,Close,Adj Close,Volume
25-05-2018,114.699997,116.75,113.650002,116.050003,114.260384,3285072
28-05-2018,116.849998,118.699997,115.099998,117.900002,116.081856,4786444
29-05-2018,117.900002,122,117.25,120.699997,118.838669,5809268
30-05-2018,121.5,124.199997,120.199997,121.25,119.380196,5378953
31-05-2018,121.099998,122.75,119.099998,120.5,118.641762,4020451
01-06-2018,119,119.150002,116.599998,118.550003,116.721832,2442273
04-06-2018,119,123.150002,119,121.949997,120.069397,5011125
05-06-2018,123.150002,125.400002,121.349998,124.300003,122.383163,5464668
06-06-2018,123.5,127.400002,120.5,126.449997,124.5,7644545
07-06-2018,125.400002,127.650002,124.25,126.949997,126.949997,6246242
08-06-2018,124,130,123.699997,128.199997,128.199997,8185372
11-06-2018,128.800003,129.75,125.050003,125.699997,125.699997,5040581
12-06-2018,126.5,128.199997,122.800003,124.550003,124.550003,5137671
13-06-2018,124.5,126.75,124.050003,126.300003,126.300003,4141895
14-06-2018,120.800003,123.5,115.75,122.050003,122.050003,11702148
15-06-2018,123,125.900002,121.75,125.199997,125.199997,5315516
18-06-2018,126.5,128.199997,124.300003,127.550003,127.550003,4815492
19-06-2018,128.199997,129.699997,127.599998,128.050003,128.050003,2779090
20-06-2018,129.5,130,127.849998,128.300003,128.300003,2791669
21-06-2018,129.300003,133.449997,128.100006,131.75,131.75,6133367
22-06-2018,134.199997,137.399994,133.149994,134.899994,134.899994,6044444
25-06-2018,135.5,138.300003,133.550003,134.550003,134.550003,4678803
26-06-2018,134.800003,136.949997,132.300003,132.850006,132.850006,3369901
27-06-2018,133.350006,133.699997,127.199997,129.699997,129.699997,7054783
28-06-2018,133.050003,135.649994,131.5,135.199997,135.199997,4936739
29-06-2018,135.850006,139.5,134.800003,137.850006,137.850006,9699727
02-07-2018,139,139,133.699997,134.800003,134.800003,5249209
03-07-2018,134.75,142.699997,134,140.850006,140.850006,10366973
04-07-2018,141.449997,143,138.800003,139.949997,139.949997,7484304
05-07-2018,140.699997,143.75,137.850006,138.399994,138.399994,6072723
06-07-2018,138.5,140.899994,135.449997,137.149994,137.149994,9267730
09-07-2018,137.600006,138.399994,136.100006,136.649994,136.649994,3828731
10-07-2018,136.75,137.449997,130.199997,130.949997,130.949997,4981602
11-07-2018,130,130,125.699997,126.449997,126.449997,8243043
12-07-2018,126.699997,132.75,125.650002,131.399994,131.399994,10057362
13-07-2018,131.800003,134.600006,128.899994,129.699997,129.699997,5463981
16-07-2018,130,132.5,129,130.699997,130.699997,4825636
17-07-2018,131,132.300003,127.099998,129,129,7597882
18-07-2018,129.050003,130.199997,126.099998,127.400002,127.400002,4116416
19-07-2018,128.75,129.149994,123.699997,125,125,4451566
20-07-2018,125.300003,127.449997,124,125.5,125.5,4540522
23-07-2018,125.300003,130.100006,124.400002,127.449997,127.449997,8410047
24-07-2018,129.149994,133,127.5,132.399994,132.399994,8504613
25-07-2018,134.050003,137.75,133.5,137.100006,137.100006,7317459
26-07-2018,133.100006,134,127.099998,128.350006,128.350006,12610030
27-07-2018,127.150002,131.5,127.150002,129.449997,129.449997,6422209
30-07-2018,129.649994,129.899994,124.900002,126.099998,126.099998,5196006
31-07-2018,126.349998,126.550003,122.400002,123.800003,123.800003,4436207
01-08-2018,124,131.25,122.550003,129.350006,129.350006,8465800
02-08-2018,130,130.550003,127.5,129.949997,129.949997,3874784
03-08-2018,130.399994,133.649994,129.600006,132.100006,132.100006,5289644
06-08-2018,133.199997,134.75,132.100006,133.449997,133.449997,3786212
07-08-2018,134.800003,136.350006,133.199997,135.850006,135.850006,4929282
08-08-2018,135.75,136.649994,132.5,133.600006,133.600006,3453206
09-08-2018,133.699997,135.850006,132.050003,135.5,135.5,4188128
10-08-2018,135.600006,136.800003,134.149994,136.199997,136.199997,3550061
13-08-2018,136.949997,137.350006,133.649994,134.100006,134.100006,2777826
14-08-2018,134.350006,135.149994,132.199997,134,134,3586164
16-08-2018,133.899994,134.899994,132.300003,134.350006,134.350006,2689494
17-08-2018,135.100006,142.949997,134.699997,141.449997,141.449997,6299917
20-08-2018,142,144.5,140.5,141.699997,141.699997,6284081
21-08-2018,140.949997,142.399994,135.600006,137.5,137.5,3435993
23-08-2018,136.800003,140.5,136.75,140,140,3234020
24-08-2018,142.100006,146.600006,141.600006,145.699997,145.699997,5844510
27-08-2018,147.199997,154.199997,146.300003,150.75,150.75,10445879
28-08-2018,151.199997,153.800003,148.25,152.100006,152.100006,4452546
29-08-2018,151.100006,152.149994,148.350006,149.300003,149.300003,4760285
30-08-2018,146.399994,146.899994,139.600006,141.050003,141.050003,4757118
31-08-2018,139.800003,145.199997,139.5,144.649994,144.649994,5602441
03-09-2018,145.300003,145.899994,141.399994,143.449997,143.449997,3415822
04-09-2018,145.25,147.449997,140.25,140.800003,140.800003,7166925
05-09-2018,142.050003,143.100006,141,141.75,141.75,2920926
06-09-2018,142.649994,143.199997,141,141.550003,141.550003,2585398
07-09-2018,142,143.699997,141.050003,141.5,141.5,3035316
10-09-2018,145,146.25,142.600006,145.800003,145.800003,4549769
11-09-2018,146,148,144.100006,145.199997,145.199997,4524412
12-09-2018,145,145,140.75,141.300003,141.300003,4276948
14-09-2018,142.649994,142.850006,139.199997,141.550003,141.550003,3455224
17-09-2018,141,147.399994,140.800003,146,146,4109456
18-09-2018,147.350006,148.100006,132.449997,135.399994,135.399994,7010722
19-09-2018,135,139,133.800003,137.350006,137.350006,4217197
21-09-2018,139,143.800003,138.800003,143.199997,143.199997,4112055
24-09-2018,144,155,142.5,152.199997,152.199997,12915444
25-09-2018,153,154.899994,150.399994,152.350006,152.350006,7385189
26-09-2018,153.399994,154.449997,147.25,149.399994,149.399994,4288776
27-09-2018,149.899994,150.550003,147.399994,149.100006,149.100006,3385978
28-09-2018,150.199997,151,144.800003,145.649994,145.649994,3728631
01-10-2018,144,144.199997,140.75,142.25,142.25,7498766
03-10-2018,143.550003,144.399994,140.149994,141.25,141.25,3230470
04-10-2018,141.899994,142.699997,136.100006,137.300003,137.300003,4779048
05-10-2018,138.5,143.699997,138.199997,143.199997,143.199997,3708398
08-10-2018,144,144.199997,140.449997,142.75,142.75,3195646
09-10-2018,143.25,149.300003,143,147.850006,147.850006,5526031
10-10-2018,147.5,148,144.399994,146.949997,146.949997,3224297
11-10-2018,147.100006,150.850006,147.100006,148,148,4283625
12-10-2018,147,149.300003,147,147.75,147.75,2744146
15-10-2018,147,149.649994,142.800003,144.649994,144.649994,3228567
16-10-2018,143.949997,145.449997,141.5,143.850006,143.850006,2633065
17-10-2018,144.449997,148,143.75,147.649994,147.649994,3860131
19-10-2018,147,147.699997,143.699997,144.199997,144.199997,2336674
22-10-2018,142.25,142.75,138.300003,139.050003,139.050003,3525327
23-10-2018,138.199997,140.5,136.100006,137.050003,137.050003,4522777
24-10-2018,138,138.300003,132.300003,133.949997,133.949997,6460119
25-10-2018,135.800003,137,131.600006,132.850006,132.850006,6212822
26-10-2018,132.550003,133.300003,128.5,129.550003,129.550003,5101370
29-10-2018,119.099998,130.899994,116,128.699997,128.699997,10105589
30-10-2018,134,145.399994,132.5,143.050003,143.050003,12454663
31-10-2018,143,154.449997,140.600006,143.899994,143.899994,17837062
